Board: Teensy 4.0
Powered via USB

GND	Screen GND (white) / encoder GND / button GND / pot 1 GND / pot 2 GND
5V	-
3.3V	Screen 3.3V (purple) / Screen BL (grey) / pot 1 3.3V / pot 2 3.3V
0	MIDI UART
1	Encoder A
2	Encoder B
3	(free: digital in/out, PWM)
4	(free: digital in/out, PWM)
5	(free: digital in/out, PWM)
6	(free: digital in/out, PWM)
7	Audio DIN
8	Audio DOUT
9	Screen RST (brown)
10	Screen SPI CS (yellow)
11	Screen SPI MOSI (green)
12	Screen D/C (blue)
13	Screen SPI SCL (orange)
14	Pot 1 wiper
15	Pot 2 wiper
16	IO expander SCL
17	IO expander SDA
18	Audio SCL
19	Audio SDA
20	Audio LRCLK
21	Audio BCLK
22	(free: analog in, digital in/out, PWM)
23	Audio MCLK


